# height=0.7098170295367094
# shoulder_width=0.43961871236779704
frame,timestamp_ms,nose_x,nose_y,nose_z,nose_vis,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_vis,left_eye_x,left_eye_y,left_eye_z,left_eye_vis,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_vis,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_vis,right_eye_x,right_eye_y,right_eye_z,right_eye_vis,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_vis,left_ear_x,left_ear_y,left_ear_z,left_ear_vis,right_ear_x,right_ear_y,right_ear_z,right_ear_vis,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_vis,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_vis,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_vis,left_index_x,left_index_y,left_index_z,left_index_vis,right_index_x,right_index_y,right_index_z,right_index_vis,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_vis,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0,0,0.12864390015602112,0.38154828548431396,-0.02212774008512497,0.9998766183853149,0.11542487144470215,0.36569350957870483,-0.05873941257596016,0.9998854398727417,0.1157127097249031,0.3659825623035431,-0.058742113411426544,0.9998805522918701,0.11627891659736633,0.36653003096580505,-0.058801304548978806,0.99989914894104,0.11555641144514084,0.36144769191741943,-0.016294259577989578,0.9998376369476318,0.11554080992937088,0.35065141320228577,-0.016344809904694557,0.9998067021369934,0.11605557799339294,0.34738245606422424,-0.016385400667786598,0.9998831748962402,0.12828278541564941,0.3518314063549042,-0.1549011617898941,0.9997655749320984,0.12939658761024475,0.31939393281936646,0.03504813462495804,0.9998821020126343,0.145023375749588,0.37689274549484253,-0.04972019046545029,0.9998058676719666,0.14576378464698792,0.3635261058807373,0.006227368954569101,0.9997922778129578,0.22357766330242157,0.3943077325820923,-0.24794653058052063,0.9998949766159058,0.23000310361385345,0.25893434882164,0.17026080191135406,0.9995423555374146,0.2762202024459839,0.6365905404090881,-0.282884806394577,0.9966996312141418,0.2666652202606201,0.5238057374954224,0.2260042130947113,0.5260903239250183,0.27732211351394653,0.8543312549591064,-0.22895672917366028,0.9938679337501526,0.2713281512260437,0.6896241307258606,0.15075193345546722,0.5827481150627136,0.25005340576171875,0.8752051591873169,-0.27804842591285706,0.9888434410095215,0.24444356560707092,0.6941941976547241,0.1517353355884552,0.5644517540931702,0.2432476431131363,0.8668806552886963,-0.2413136065006256,0.9867521524429321,0.2387709766626358,0.7083658576011658,0.10525195300579071,0.5729041695594788,0.2542317509651184,0.8611806035041809,-0.2147451937198639,0.9783530235290527,0.25724831223487854,0.7546639442443848,0.12806810438632965,0.5692999362945557,0.5047270059585571,0.4187636971473694,-0.13452942669391632,0.9991849064826965,0.5004168748855591,0.3248547911643982,0.13515092432498932,0.995941162109375,0.6883577704429626,0.4882735013961792,-0.08391281217336655,0.9884909391403198,0.6817162036895752,0.432356059551239,0.2932550311088562,0.22648657858371735,0.8793960809707642,0.5111877918243408,-0.01969483308494091,0.991198718547821,0.8351527452468872,0.4258652925491333,0.5135020613670349,0.43087512254714966,0.9202298521995544,0.480214387178421,-0.0196574404835701,0.9863872528076172,0.869141161441803,0.4054162800312042,0.5332880020141602,0.618929922580719,0.8684374690055847,0.6182299852371216,-0.13964208960533142,0.9893081784248352,0.8226850032806396,0.5490807294845581,0.4642116129398346,0.7039648294448853
1,33,0.13029534369707108,0.3842144161462784,-0.01857438078150153,0.999876856803894,0.11684469506144524,0.37189318239688873,-0.05789913050830364,0.9998859763145447,0.11708939075469971,0.3725845068693161,-0.0579028595238924,0.9998810291290283,0.11757691949605942,0.37327323853969574,-0.05795317329466343,0.9998992681503296,0.11665455996990204,0.36436423659324646,-0.015456106048077345,0.9998389184474945,0.11649974808096886,0.3552546054124832,-0.015510057099163532,0.9998086094856262,0.11679109185934067,0.3511290103197098,-0.015546220354735851,0.9998837411403656,0.12833397090435028,0.35779327154159546,-0.1634000465273857,0.9997676312923431,0.1290695145726204,0.321816086769104,0.026192449033260345,0.9998830556869507,0.14529985934495926,0.37763117253780365,-0.04921740107238293,0.999807596206665,0.1474544033408165,0.36799009144306183,0.006701071513816714,0.9997945725917816,0.22357814759016037,0.3981676399707794,-0.25388096272945404,0.9998964369297028,0.22993111610412598,0.25279000401496887,0.15489207208156586,0.9995479881763458,0.2748706340789795,0.6435593664646149,-0.28205299377441406,0.9967302083969116,0.26800645887851715,0.5162658095359802,0.22215820103883743,0.5122134685516357,0.2767408490180969,0.8553739786148071,-0.21653690934181213,0.9937205612659454,0.27636590600013733,0.68974769115448,0.15598328411579132,0.5663760304450989,0.24929289519786835,0.8755639791488647,-0.2632162645459175,0.9886205196380615,0.2510145455598831,0.6949761509895325,0.16026244312524796,0.549601823091507,0.24214516580104828,0.8668812215328217,-0.22909464687108994,0.9864994287490845,0.24107008427381516,0.7235819697380066,0.11361612007021904,0.5577262043952942,0.2537435442209244,0.8614132106304169,-0.20304813235998154,0.977969616651535,0.26157769560813904,0.7465748190879822,0.1338876634836197,0.5546308755874634,0.5048572719097137,0.41885945200920105,-0.13072603940963745,0.9991900622844696,0.5004464983940125,0.3235630989074707,0.1312316507101059,0.9959757328033447,0.6875997483730316,0.49005310237407684,-0.07038632594048977,0.9883481860160828,0.6813022196292877,0.4290938526391983,0.29273636639118195,0.23414692282676697,0.8778703212738037,0.5112873017787933,0.00979295652359724,0.9911142289638519,0.8386581838130951,0.425984263420105,0.5033931583166122,0.4415982514619827,0.9202339053153992,0.4806020110845566,0.012577947229146957,0.9864583611488342,0.8709998726844788,0.40564775466918945,0.5225480198860168,0.6280651688575745,0.8702369928359985,0.6199960708618164,-0.09271346405148506,0.9889025092124939,0.827481746673584,0.5520448386669159,0.4591512680053711,0.7074284255504608
2,66,0.13089194893836975,0.38865522543589276,-0.018712349546452362,0.9998788634936014,0.11737651874621709,0.37664905190467834,-0.05964106942216555,0.9998880624771118,0.1176188737154007,0.37733275691668194,-0.05963823820153872,0.9998831550280253,0.1180743823448817,0.3778488039970398,-0.059675317257642746,0.9999008576075236,0.11706052720546722,0.36821140845616657,-0.01713364291936159,0.9998422265052795,0.11686300734678905,0.36027486125628155,-0.017190048471093178,0.9998127619425455,0.11705898990233739,0.3546380400657654,-0.01722247526049614,0.9998858769734701,0.12846321364243826,0.36185012261072796,-0.17013364533583322,0.9997724095980326,0.12892126043637595,0.32436304291089374,0.0196133004501462,0.9998855193456014,0.14601841568946838,0.3815706471602122,-0.051028184592723846,0.9998116294542948,0.14822502930959067,0.3726014693578084,0.0049628705795233445,0.9997991323471069,0.22358953952789307,0.39941612879435223,-0.25750549634297687,0.9998986919720968,0.2297846923271815,0.2494889199733734,0.1473743865887324,0.9995568990707397,0.27421167492866516,0.6460425059000651,-0.2813403308391571,0.996780534585317,0.2689543267091115,0.5111316243807474,0.21989237268765768,0.5015908281008402,0.27647286653518677,0.8557181358337402,-0.2103909949461619,0.9936794439951578,0.2804776132106781,0.6903942823410034,0.15811797976493835,0.5538691083590189,0.24879153072834015,0.8753442565600077,-0.25598162909348804,0.9885608752568563,0.25567176938056946,0.6961847345034281,0.16366566717624664,0.5381041169166565,0.241193359096845,0.8664212226867676,-0.2228717158238093,0.9864365657170614,0.24304470916589102,0.7303850452105204,0.11710514624913533,0.5459235509236654,0.25340216358502704,0.861318568388621,-0.19718032081921896,0.9778709610303243,0.26502513885498047,0.7420339584350586,0.13634219765663147,0.543171226978302,0.5049840013186137,0.41878490646680194,-0.12885668873786926,0.9991970260938009,0.5003971258799235,0.32243892550468445,0.12932109336058298,0.9960159460703532,0.6865953207015991,0.49228208263715106,-0.06748889138301213,0.9883095224698385,0.680793046951294,0.4271942377090454,0.29332501689593,0.24102014303207397,0.8766255974769592,0.5150910019874573,0.015538822238643965,0.9911199808120728,0.8410325447718302,0.42698540290196735,0.5006003975868225,0.4518941044807434,0.9204158981641134,0.4812953472137451,0.018876055876413982,0.9866252144177755,0.8730872869491577,0.4067973991235097,0.5194772283236185,0.6367056767145792,0.8698374430338541,0.6219025651613871,-0.08349920312563579,0.9887265761693319,0.8305202921231588,0.5568730235099792,0.4574147363503774,0.7116253773371378
3,100,0.1311735436320305,0.39124321192502975,-0.01917023374699056,0.9998806267976761,0.11761118657886982,0.3789884001016617,-0.06099785212427378,0.9998899400234222,0.117855379357934,0.37953029572963715,-0.06098989490419626,0.9998850524425507,0.11828717775642872,0.3798743784427643,-0.0610210420563817,0.9999022781848907,0.11722378060221672,0.37059202790260315,-0.018321200972422957,0.9998452216386795,0.11701115407049656,0.3634454980492592,-0.01837872201576829,0.9998164921998978,0.11714611388742924,0.35702840983867645,-0.01841119024902582,0.9998878389596939,0.12849941477179527,0.36365772783756256,-0.1735265515744686,0.999776616692543,0.12870828434824944,0.3259853422641754,0.016990454401820898,0.9998877644538879,0.14643541350960732,0.38362426310777664,-0.05228459741920233,0.9998153299093246,0.14859458431601524,0.37519825249910355,0.003918261965736747,0.9998032450675964,0.2235609069466591,0.39854806661605835,-0.2590606138110161,0.9999006986618042,0.22948069497942924,0.24735797941684723,0.14436839148402214,0.9995652437210083,0.2734631299972534,0.647128090262413,-0.28131578862667084,0.9968345165252686,0.26964887976646423,0.5074874609708786,0.21656275913119316,0.49155840277671814,0.2760324627161026,0.8556229770183563,-0.20824014022946358,0.9936807751655579,0.28263528645038605,0.6915509551763535,0.15442686900496483,0.5424646586179733,0.24823135137557983,0.874888688325882,-0.2538873292505741,0.988567441701889,0.25802095234394073,0.6976267546415329,0.16035304591059685,0.5276050865650177,0.24025247991085052,0.8656917959451675,-0.22090907767415047,0.9864496886730194,0.2461255080997944,0.7331314831972122,0.11451139114797115,0.5351329892873764,0.25287871807813644,0.8609744161367416,-0.1951199434697628,0.9778830260038376,0.26675844192504883,0.7394637316465378,0.1330282147973776,0.5326324701309204,0.5049314945936203,0.41793616861104965,-0.1272516343742609,0.9991990923881531,0.5003336668014526,0.32184021919965744,0.12769321352243423,0.9960351288318634,0.6859414279460907,0.49411585181951523,-0.06586894858628511,0.9882745295763016,0.680295005440712,0.4260866269469261,0.29012490063905716,0.247282974421978,0.8757128864526749,0.5183331072330475,0.020727041643112898,0.9911127388477325,0.8423944413661957,0.42775946110486984,0.49341338872909546,0.4614793509244919,0.9202283918857574,0.48299163579940796,0.024519169703125954,0.986788272857666,0.8744815438985825,0.40765558928251266,0.5118945837020874,0.6447222232818604,0.8694044053554535,0.6229845583438873,-0.07582520041614771,0.9885814487934113,0.8334505259990692,0.5595704913139343,0.4491817206144333,0.7159103602170944
4,133,0.13169942498207093,0.3931176245212555,-0.021057706885039808,0.9998813152313233,0.11811413168907166,0.38094303011894226,-0.0633871965110302,0.9998907208442688,0.11835487484931946,0.3813107430934906,-0.06337933614850044,0.9998857975006104,0.11875591278076172,0.3814456701278687,-0.06341129913926125,0.9999027609825134,0.11769769489765167,0.3727693438529968,-0.02047796454280615,0.9998466968536377,0.1174764022231102,0.3657983601093292,-0.020535488054156302,0.9998184323310852,0.11755378097295761,0.3591399073600769,-0.020569154992699623,0.9998887658119202,0.1288374036550522,0.3648217678070068,-0.1766741991043091,0.9997788429260254,0.128741854429245,0.3273315727710724,0.014794593490660191,0.9998890042304993,0.14735091626644134,0.3854384243488312,-0.05438234880566597,0.9998174905776978,0.1493076503276825,0.37741191387176515,0.0021236020140349863,0.9998058199882507,0.22361139953136444,0.39773947596549986,-0.26160895824432373,0.9999020218849182,0.22981479465961457,0.2461059421300888,0.1427203357219696,0.9995718002319336,0.27286823391914367,0.647076404094696,-0.28378274440765383,0.9968806385993958,0.2701634705066681,0.5055197358131409,0.2139110505580902,0.4827342450618744,0.27539961934089663,0.8553394436836242,-0.2093483626842499,0.9936813712120056,0.2836994469165802,0.692602789402008,0.1512253224849701,0.5326048731803894,0.24770478904247284,0.8745808482170105,-0.2551293224096298,0.9885695457458497,0.25837201476097105,0.7048206448554992,0.15713836550712584,0.5185226082801819,0.23954182267189025,0.8649816036224365,-0.22192980647087096,0.9864579319953919,0.24791257083415985,0.7356441259384155,0.11153210252523423,0.525819718837738,0.2520658284425735,0.8603116393089294,-0.19617942869663238,0.9778817772865296,0.26621638536453246,0.7396926522254944,0.12990327775478364,0.5235594213008881,0.5053563833236694,0.41712567806243894,-0.12635414749383928,0.9991956949234009,0.5007917761802674,0.3214184880256653,0.12679087221622468,0.9960412383079529,0.6856252789497376,0.4956174552440643,-0.062318061292171475,0.9882244348526001,0.6802168130874634,0.42550851702690123,0.2879977285861969,0.2524503290653229,0.8755400657653809,0.5205559372901917,0.029027574881911277,0.9910685300827027,0.8448665022850037,0.4288091599941254,0.489589262008667,0.46966239213943484,0.9204442620277404,0.4856181740760803,0.03324699401855469,0.9868980169296264,0.8766650676727294,0.40875533819198606,0.5078871309757232,0.6516791343688965,0.8690031409263611,0.6237506747245789,-0.06592504233121872,0.9884207367897033,0.8357517004013062,0.5618337035179138,0.44430203437805177,0.7196213006973267
5,166,0.13209690898656845,0.3948822816212972,-0.023975993661830824,0.9998815655708313,0.11852578322092693,0.3825008769830068,-0.0663110272337993,0.9998912612597147,0.11878408615787824,0.3826413651307424,-0.06630054054160912,0.9998862544695536,0.119178822884957,0.38253047068913776,-0.06633203538755576,0.999902993440628,0.11807298163572948,0.3746897478898366,-0.023386907298117876,0.999847819407781,0.1178550161421299,0.36798709630966187,-0.02344540661821763,0.9998199343681335,0.11789248883724213,0.3613427132368088,-0.023481438246866066,0.9998894135157267,0.1292610689997673,0.3655109902222951,-0.1793485110004743,0.9997804164886475,0.12885152300198874,0.3285106321175893,0.012192593334475532,0.9998900095621744,0.14824439585208893,0.38684943815072376,-0.05712994746863842,0.999819149573644,0.14995362361272177,0.379240815838178,-0.0005893787213911613,0.9998078246911367,0.22394836445649466,0.3967726429303487,-0.26325881977876026,0.9999032020568848,0.22988282144069672,0.24532282600800195,0.14008220781882605,0.9995774130026499,0.272514467438062,0.6470037003358206,-0.28544964889685315,0.9969197511672974,0.270764688650767,0.5043546309073766,0.211014986038208,0.4748527059952418,0.27496832609176636,0.8548443814118704,-0.21085801720619202,0.9936776459217072,0.28448139131069183,0.6941319505373637,0.14827058960994086,0.5239581267038981,0.24734337627887726,0.8741540014743805,-0.25657085825999576,0.9885631501674652,0.2583439101775487,0.7118375996748606,0.15414573003848395,0.510518416762352,0.23904163390398026,0.8641290465990702,-0.22328203668196997,0.9864570697148641,0.2489256833990415,0.7380610406398773,0.10862423727909724,0.5175912280877432,0.25152626633644104,0.8596137563387553,-0.19768708447615305,0.9778689444065094,0.26570431888103485,0.740953286488851,0.1270049661397934,0.5155044247706732,0.5056432286898295,0.41637231906255084,-0.1257158691684405,0.9991916914780935,0.5010917882124583,0.32115211089452106,0.12615065276622772,0.9960358540217081,0.6854593753814697,0.4967413196961085,-0.061202955121795334,0.9881765047709147,0.680163045724233,0.42517129083474475,0.2872323989868164,0.25694672266642254,0.8754309813181559,0.5224491457144419,0.032257821721335254,0.9910294910271963,0.8460564116636912,0.4295617640018463,0.4870886653661728,0.47689470648765564,0.9205178717772166,0.48737912873427075,0.03630801849067211,0.9870111147562662,0.877956380446752,0.40958984196186066,0.5054391026496887,0.6579020023345947,0.868799646695455,0.624514122804006,-0.06343858626981576,0.9882863163948059,0.8372485637664795,0.5634022355079651,0.4417607585589091,0.722993016242981
6,200,0.132373714021274,0.3955233820847103,-0.025845881950642382,0.9998819317136493,0.11891107154744011,0.38330170937946867,-0.06812722714883941,0.9998918431145805,0.11917348525353841,0.383345650775092,-0.06811581711683955,0.9998867852347237,0.11956078239849635,0.383103004523686,-0.06814743525215558,0.9999032872063773,0.11844303246055331,0.375614549432482,-0.025240296630987098,0.9998490299497332,0.11822821944952011,0.3692859283515385,-0.0252996063125985,0.9998215522084918,0.1182367673942021,0.3627020461218698,-0.025337334988372668,0.9998901656695774,0.12956183510167257,0.36558136343955994,-0.1809738576412201,0.9997820769037519,0.12892279028892517,0.32864120602607727,0.010178300011570432,0.9998911193438939,0.14883469470909663,0.38687692795481,-0.058854863579784124,0.9998208369527545,0.15050107027803147,0.38002316866602215,-0.0023662507134888855,0.9998099207878113,0.22431144544056483,0.396078280040196,-0.26439848967960905,0.9999041642461505,0.2300445501293455,0.2442260938031333,0.13812927263123648,0.9995823161942619,0.27245836172785076,0.6469355566161019,-0.28640876923288616,0.9969554032598223,0.2716861196926662,0.502929048878806,0.2089723220893315,0.4676430991717747,0.2746228149959019,0.8545945116451809,-0.21107585302421025,0.9936705146517072,0.2856250192437853,0.695204496383667,0.1462972845349993,0.5157038654599871,0.24713125399180821,0.8739199382918221,-0.25656614771911074,0.9885490877287728,0.2594924569129944,0.7149292315755572,0.1522208665098463,0.5028919151851109,0.2387475839682988,0.8635251777512687,-0.22324407739298685,0.9864466871534076,0.2509256452322006,0.7387971707752773,0.10657831068549838,0.509782646383558,0.2511726937123707,0.8590930870601109,-0.19790162358965194,0.9778451749256679,0.2666366057736533,0.7406012671334403,0.1250628467117037,0.5078970619610378,0.5060370990208217,0.41573634317943026,-0.12520727408783777,0.9991869074957711,0.5013540812901088,0.32056048938206266,0.1256418228149414,0.9960257921900068,0.6854993956429618,0.49761661887168884,-0.06037911506635802,0.9881409576960972,0.680228590965271,0.42472345914159504,0.28542871134621756,0.26097142696380615,0.8757237195968628,0.5237064276422773,0.03332063741981983,0.9910007970673698,0.8469676290239606,0.4300950765609741,0.483562959092004,0.4834268263408116,0.920780326638903,0.4887450635433197,0.037276621375765116,0.9871150595801217,0.8791388613837106,0.41021721277918133,0.5017892377717155,0.6635028038706098,0.8687336615153721,0.6249852691377912,-0.06245771848729679,0.9881633860724313,0.838153634752546,0.5644709042140416,0.4379823548453195,0.7259400146348136
7,233,0.1326346229761839,0.39673468098044395,-0.02737634803634137,0.9998822137713432,0.11927837040275335,0.3843616284430027,-0.06965893553569913,0.9998923912644386,0.1195596968755126,0.3842689022421837,-0.06964679481461644,0.9998872876167297,0.11995163839310408,0.38385603204369545,-0.06967920763418078,0.9999035745859146,0.11878047231584787,0.3768361695110798,-0.02673448098357767,0.9998501315712929,0.11857103556394577,0.3707488738000393,-0.026793587254360318,0.9998230338096619,0.11855563893914223,0.3642384931445122,-0.026832184987142682,0.9998908564448357,0.12994461134076118,0.3657974973320961,-0.18251811899244785,0.9997836351394653,0.1290618646889925,0.3292066641151905,0.008768525272898842,0.9998921900987625,0.1493840366601944,0.3876889906823635,-0.06030142633244395,0.9998224973678589,0.15093135088682175,0.38117289543151855,-0.0037619071663357317,0.9998119324445724,0.22465921565890312,0.3954142965376377,-0.26536062359809875,0.9999051317572594,0.23014502972364426,0.2433888576924801,0.1369215901941061,0.9995870813727379,0.2724386155605316,0.6468073055148125,-0.2872985564172268,0.9969876855611801,0.2723836712539196,0.5020293816924095,0.20727896690368652,0.46119432523846626,0.2743515074253082,0.8544082418084145,-0.2119770459830761,0.9936728179454803,0.28648096323013306,0.6961796283721924,0.14420086704194546,0.5083641186356544,0.246971495449543,0.8737482652068138,-0.2574044968932867,0.9885520115494728,0.26038096100091934,0.7170305326581001,0.15017455257475376,0.4961056672036648,0.2385342363268137,0.8630524650216103,-0.2238470409065485,0.9864560440182686,0.25236654095351696,0.7391922771930695,0.10449787229299545,0.5028218142688274,0.2509125638753176,0.8586115017533302,-0.19873064383864403,0.977850504219532,0.2673904821276665,0.7401471063494682,0.12299627345055342,0.5011110752820969,0.5066289082169533,0.4148811064660549,-0.12485223915427923,0.9991808533668518,0.5015958845615387,0.3199799954891205,0.1252870410680771,0.9960054010152817,0.6856716647744179,0.49825941398739815,-0.06099283741787076,0.9881130754947662,0.6803766489028931,0.424108661711216,0.28437798097729683,0.2645866572856903,0.876105971634388,0.5247345641255379,0.03320320718921721,0.9909758493304253,0.8479694202542305,0.4306621365249157,0.4810594469308853,0.4894247204065323,0.9215906113386154,0.49000659212470055,0.037238060031086206,0.987213596701622,0.8802185580134392,0.4107198417186737,0.49922051280736923,0.6686466038227081,0.8686697855591774,0.6253706514835358,-0.06198709364980459,0.9880510121583939,0.8395626172423363,0.5651565939188004,0.4355747736990452,0.7286573424935341
8,266,0.13312524722682106,0.39760446217324996,-0.02800299920555618,0.9998824199040731,0.11975651068819894,0.38517405258284676,-0.07057538421617614,0.999892877207862,0.12003833055496216,0.3850107689698537,-0.07056377207239468,0.999887744585673,0.12041776958439085,0.3844255142741733,-0.07059602232442962,0.9999038312170241,0.11924392233292262,0.37771764066484237,-0.027521301785276994,0.9998510943518745,0.11903757684760624,0.37176939513948226,-0.02757920055753655,0.9998243318663703,0.1190044954419136,0.36532674233118695,-0.027617151745491557,0.9998914334509108,0.13026444945070478,0.3659617039892409,-0.18365820580058628,0.9997852312193977,0.1291974981625875,0.32963690492841935,0.007855600819716023,0.9998931950993009,0.15008202857441372,0.38834405607647365,-0.06122387904259893,0.9998239345020719,0.15147647758324942,0.3819977773560418,-0.0045282563918994535,0.9998136758804321,0.22505612671375275,0.3949271970325046,-0.26656102140744525,0.9999059703614976,0.23049578236209023,0.24171253045399985,0.13619338969389597,0.9995913505554199,0.27270973059866166,0.6466752092043558,-0.2879379391670227,0.9970143304930793,0.2733597622977363,0.5011667311191559,0.20783734487162697,0.4555925826231639,0.2741314106517368,0.8540256553226047,-0.21213674048582712,0.9936669535107083,0.2873499095439911,0.6956876052750481,0.14677564137511784,0.5016639861795638,0.2468507256772783,0.8736079997486539,-0.2575511650906669,0.9885410931375291,0.26131927967071533,0.7161346011691623,0.1531194266345766,0.48987886640760636,0.23843727012475333,0.8626452750629849,-0.22393731772899628,0.9864492879973518,0.25377261141935986,0.7374837663438585,0.1070418722099728,0.4964514805210961,0.2507146928045485,0.8580636382102966,-0.19885036680433485,0.9778317411740621,0.2683001889122857,0.7380909522374471,0.12546918210056093,0.4949479401111603,0.507191711001926,0.4140258166525099,-0.12485575841532813,0.9991736941867404,0.5019834306504991,0.31793148981200325,0.12529312570889792,0.9959836271074083,0.6858063538869222,0.4987552397780948,-0.06148185870713658,0.9880714350276523,0.6805086930592855,0.4227609568172031,0.28410255246692234,0.2677966091367934,0.8763603236940172,0.5253123905923631,0.03288705357246929,0.990938040945265,0.8487192127439711,0.4307825167973836,0.479584233628379,0.4944970342848036,0.9221868846151564,0.49077869123882717,0.03698004244102372,0.9872834152645535,0.8812370631429884,0.4111591378847758,0.4976984957853953,0.6729996138148837,0.8684699800279405,0.6257865362697177,-0.06172760451833407,0.9879213902685378,0.8411667413181729,0.565207925107744,0.43477684921688503,0.730672021706899
9,300,0.13389736860990525,0.3982726544141769,-0.028730849083513022,0.9998819828033447,0.1204448588192463,0.3857991486787796,-0.07143417485058308,0.9998929083347321,0.12071748226881027,0.3855842173099518,-0.07142269425094128,0.9998877346515656,0.12107343599200249,0.3848744034767151,-0.07145613469183446,0.9999036848545074,0.11993486955761909,0.37838525474071505,-0.028221869375556707,0.9998513400554657,0.11973179131746292,0.37252509891986846,-0.02827778775244951,0.9998247921466827,0.11967900320887566,0.366144722700119,-0.028315175510942935,0.9998915016651153,0.13082772493362427,0.366078120470047,-0.18465854823589326,0.9997860014438629,0.12971605211496354,0.3299859493970871,0.007210665568709374,0.9998937606811523,0.15100619792938233,0.3888556331396103,-0.06206995062530041,0.9998245775699616,0.15223075598478317,0.3826067954301834,-0.005172517104074359,0.9998144924640655,0.2256018489599228,0.3940054953098297,-0.2674294590950012,0.9999065518379211,0.23121938109397888,0.24031921476125717,0.13571262061595918,0.9995944023132324,0.2730384677648544,0.6462006211280823,-0.2888944745063782,0.9970379412174225,0.2742276042699814,0.5005215883255005,0.2078109323978424,0.4505034774541855,0.2739332586526871,0.853728586435318,-0.21384451687335967,0.9936719417572022,0.2879820466041565,0.6953272998332978,0.14611784964799882,0.4956494241952896,0.24676331281661987,0.8734876036643981,-0.2594438686966896,0.9885477125644684,0.2617912948131561,0.7179041862487793,0.15248458385467528,0.48430333137512205,0.2383735403418541,0.8622858166694641,-0.22538072019815444,0.9864627480506897,0.2548253282904625,0.7373599410057068,0.10619640499353408,0.49074915051460266,0.25054192543029785,0.8575714886188507,-0.20039261132478714,0.9778424739837647,0.268505784869194,0.7380075752735138,0.12472794130444527,0.48942444920539857,0.5079347252845764,0.4128847360610962,-0.12486547827720643,0.9991636455059052,0.5025692284107208,0.31619376242160796,0.12530573159456254,0.9959430515766143,0.685981810092926,0.4989842981100082,-0.06263858266174793,0.9880129337310791,0.6806824803352356,0.42165005803108213,0.28493794798851013,0.27048571705818175,0.8765573740005493,0.525428730249405,0.032430497370660304,0.9908857941627502,0.8492641746997833,0.4307404369115829,0.48124182522296904,0.4987870156764984,0.9222926437854767,0.4910678297281265,0.03668302372097969,0.9873354315757752,0.8820173442363739,0.41153632700443266,0.4994702249765396,0.6767050564289093,0.8684865534305573,0.625516539812088,-0.06181625537574291,0.987780874967575,0.8422774076461792,0.5645356178283691,0.436903190612793,0.732316118478775
